nsub,condicion,orden_bloque
1,WW,3
1,LL,1
1,HH,2
2,WW,1
2,LL,2
2,HH,3
3,WW,3
3,LL,2
3,HH,1
4,WW,3
4,LL,1
4,HH,2
5,WW,1
5,LL,3
5,HH,2
6,WW,2
6,LL,3
6,HH,1
7,WW,2
7,LL,1
7,HH,3
8,WW,1
8,LL,2
8,HH,3
9,WW,3
9,LL,2
9,HH,1
10,WW,3
10,LL,1
10,HH,2
11,WW,1
11,LL,2
11,HH,3
12,WW,2
12,LL,3
12,HH,1
13,WW,2
13,LL,1
13,HH,3
14,WW,1
14,LL,2
14,HH,3
15,WW,3
15,LL,2
15,HH,1
16,WW,3
16,LL,1
16,HH,2
17,WW,1
17,LL,3
17,HH,2
18,WW,2
18,LL,3
18,HH,1
19,WW,2
19,LL,1
19,HH,3
20,WW,1
20,LL,2
20,HH,3
21,WW,3
21,LL,2
21,HH,1
22,WW,3
22,LL,1
22,HH,2
23,WW,1
23,LL,3
23,HH,2
31,WW,2
31,LL,1
31,HH,3
32,WW,2
32,LL,3
32,HH,1
33,WW,3
33,LL,2
33,HH,1
34,WW,1
34,LL,3
34,HH,2
35,WW,3
35,LL,2
35,HH,1
36,WW,1
36,LL,2
36,HH,3
37,WW,2
37,LL,1
37,HH,3
38,WW,2
38,LL,3
38,HH,1
39,WW,1
39,LL,3
39,HH,2
40,WW,3
40,LL,1
40,HH,2
41,WW,3
41,LL,2
41,HH,1
42,WW,1
42,LL,2
42,HH,3
43,WW,2
43,LL,1
43,HH,3
44,WW,2
44,LL,3
44,HH,1
45,WW,1
45,LL,3
45,HH,2
46,WW,3
46,LL,1
46,HH,2
47,WW,3
47,LL,2
47,HH,1
48,WW,1
48,LL,2
48,HH,3
49,WW,2
49,LL,1
49,HH,3
50,WW,2
50,LL,3
50,HH,1
51,WW,1
51,LL,3
51,HH,2
52,WW,3
52,LL,1
52,HH,2
53,WW,3
53,LL,2
53,HH,1